1	1.7760e-23
2	2.3854e-23
3	1.0355e-23
4	4.9613e-24
5	2.7813e-24
6	1.7655e-24
7	1.2104e-24
8	8.7435e-25
9	6.5697e-25
10	5.0865e-25
11	3.9186e-25
12	3.0829e-25
13	2.4657e-25
14	2.0077e-25
15	1.6598e-25
16	1.3895e-25
17	1.1765e-25
18	1.0055e-25
19	8.6348e-26
20	7.4683e-26
21	6.5131e-26
22	5.7186e-26
23	5.0497e-26
24	4.4802e-26
25	3.9941e-26
26	3.5742e-26
27	3.2110e-26
28	2.8949e-26
29	2.6176e-26
30	2.3732e-26
31	2.1509e-26
32	1.9540e-26
33	1.7802e-26
34	1.6247e-26
35	1.4855e-26
36	1.3609e-26
37	1.2474e-26
38	1.1456e-26
39	1.0536e-26
40	9.7033e-27
41	8.9391e-27
42	8.2581e-27
43	7.6331e-27
44	7.0547e-27
45	6.5362e-27
46	6.0588e-27
47	5.6155e-27
48	5.2066e-27
49	4.8323e-27
50	4.4855e-27
51	4.1662e-27
52	3.8711e-27
53	3.5995e-27
54	3.3465e-27
55	3.1124e-27
56	2.8956e-27
57	2.6943e-27
58	2.5085e-27
59	2.3364e-27
60	2.1761e-27
61	2.0274e-27
62	1.8882e-27
63	1.7597e-27
64	1.6401e-27
65	1.5279e-27
66	1.4237e-27
67	1.3267e-27
68	1.2356e-27
69	1.1515e-27
70	1.0721e-27
71	9.9842e-28
72	9.2931e-28
73	8.6451e-28
74	8.0385e-28
75	7.4712e-28
76	6.9376e-28
77	6.4440e-28
78	5.9730e-28
79	5.5362e-28
80	5.1199e-28
81	4.7264e-28
82	4.3589e-28
83	4.0107e-28
84	3.6788e-28
85	3.3691e-28
86	3.0704e-28
87	2.7897e-28
88	2.5214e-28
89	2.2693e-28
90	2.0310e-28
91	1.7995e-28
92	1.5822e-28
93	1.3735e-28
94	1.1781e-28
95	9.9450e-29
96	8.1694e-29
97	6.5337e-29
98	5.0075e-29
99	3.5870e-29
